#city,state,zip_code
"Montgomery","AL","36117-7033"
"Mobile","AL","36606"
"Huntsville","AL","35801-5930"
"Hoover","AL","35244-2346"
"Anchorage","AK","99515-1950"
"Juneau","AK","99801-7210"
"Anchorage","AK","99508-3115"
"Mesa","AZ","85209-3400"
"Phoenix","AZ","85032-7702"
"Tucson","AZ","85713"
"Tucson","AZ","85712-5834"
"Tustin","CA","92782-2708"
"Antioch","CA","94509-7911"
"Woodland","CA","95776-5409"
"San Jose","CA","95131-1866"
"Victorville","CA","92395-4216"
"Chico","CA","95928-4422"
"San Dimas","CA","91773-1725"
"Visalia","CA","93277-9527"
"Manteca","CA","95336-6745"
"Redwood City","CA","94063-2854"
"Lakewood","CA","90712-2409"
"Hayward","CA","94545-5008"
"Pacoima","CA","91331-2352"
"San Marcos","CA","92069"
"Lodi","CA","95240"
"Huntington Beach","CA","92647"
"Westlake Village","CA","91362-4063"
"San Leandro","CA","94577-1209"
"Woodland Hills","CA","91367-2227"
"El Centro","CA","92243-1323"
"Tustin","CA","92782-8918"
"Vista","CA","92081-4546"
"Eureka","CA","95501-2121"
"Garden Grove","CA","92843-1206"
"Simi Valley","CA","93065-6207"
"Santa Clara","CA","95050-3100"
"Los Angeles","CA","90039-1502"
"SandCity","CA","93955-3051"
"Vallejo","CA","94591-3702"
"Redding","CA","96003-4071"
"Clovis","CA","93612-5611"
"Novato","CA","94945-5007"
"Merced","CA","95340-5850"
"Mountain View","CA","94043-1716"
"San Francisco","CA","94103-4304"
"Livermore","CA","94551-7628"
"Foster City","CA","94404-2177"
"San Jose","CA","95112-2627"
"Santa Cruz","CA","95060-2161"
"Danville","CA","94526-5553"
"Santa Maria","CA","93454-8006"
"Laguna Niguel","CA","92677-1211"
"Roseville","CA","95678-1907"
"Fresno","CA","93722-6200"
"Stockton","CA","95210-4119"
"San Diego","CA","92117-3650"
"Santee","CA","92071-5899"
"Santa Rosa","CA","95407-7636"
"Norwalk","CA","90650-2266"
"Fountain Valley","CA","92708-5404"
"Azusa","CA","91702-2819"
"Fullerton","CA","92832-3098"
"Oxnard","CA","93036-1813"
"South San Francisco","CA","94080-6909"
"Sunnyvale","CA","94086-5309"
"Signal Hill","CA","90755-2132"
"Alhambra","CA","91803-1302"
"San Juan Capistrano","CA","92675-4836"
"Corona","CA","92879-1291"
"Northridge","CA","91324-3519"
"Rancho Cordova","CA","95742-6571"
"Palm Desert","CA","92211-0817"
"Yorba Linda","CA","92887-4664"
"Santa Clarita","CA","91387-4935"
"San Diego","CA","92128-4697"
"Fairfield","CA","94534-1624"
"Irvine","CA","92618-2408"
"Moreno Valley","CA","92553-7531"
"Montebello","CA","90640-2585"
"Chula Vista","CA","91910-7807"
"Carlsbad","CA","92011-1110"
"Sacramento","CA","95823-9606"
"La Mesa","CA","91942-2934"
"San Jose","CA","95118-3603"
"Sacramento","CA","95815-4228"
"Salinas","CA","93907-1988"
"Chino Hills","CA","91709-6002"
"Goleta","CA","93117-5905"
"South San Francisco","CA","94080-1206"
"Torrance","CA","90505-5351"
"San Bernardino","CA","92408-2836"
"Marina Del Rey","CA","90292-5658"
"Van Nuys","CA","91411-2503"
"Richmond","CA","94804-5878"
"San Diego","CA","92102-4530"
"San Diego","CA","92108-4743"
"Temecula","CA","92591-4697"
"Hawthorne","CA","90250-4638"
"Commerce","CA","90040-2513"
"San Diego","CA","92111-3709"
"Fontana","CA","92336-1256"
"La Quinta","CA","92253-4756"
"Bakersfield","CA","93313-3479"
"Fresno","CA","93720-2920"
"Tracy","CA","95377"
"Rohnert Park","CA","94928-2076"
"Modesto","CA","95356-8300"
"Concord","CA","94520-3105"
"Hawthorne","CA","90250-6748"
"Burbank","CA","91506-1421"
"Rancho Cucamonga","CA","91739-9318"
"City Of Industry","CA","91748-1701"
"Montclair","CA","91763-2421"
