Date,Startup Name,Vertical,Sub-Vertical,City,Type,Amount (in USD),Remarks
25/06/2015,Zinka,Freight logistics platform,,Bangalore,Private Equity,6000000,Series A
26/06/2015,CreditMantri,Credit Management Services,,Chennai,Private Equity,2500000,Series A
26/06/2015,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Seed Funding,250000,
29/06/2015,UrbanClap,Hyperlocal services marketplace,,New Delhi,Private Equity,10000000,Series A
29/06/2015,StayGlad,Beauty services Mobile Marketplace,,Bangalore,Seed Funding,N/A,
29/06/2015,AdWyze,Marketing / Advertising Automation platform,,Bangalore,Seed Funding,1000000,
29/06/2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,Seed Funding,400000,
30/06/2015,Buttercups,Online Lingerie platform,,Bangalore,Seed Funding,N/A,
30/06/2015,RailYatri,Railways Information Mobile app,,Bangalore,Private Equity,N/A,Pre-Series A
30/06/2015,aagaar.com,Hyperlocal grocery delivery,,Gurgaon,Seed Funding,N/A,
30/06/2015,Flatchat,Flat rental Mobile App,,Bangalore,Private Equity,2500000,Strategic Funding
30/06/2015,MyCFO,Wealth Management Platform,,Mumbai,Private Equity,1500000,Series A
1/7/2015,Parcelled,Online Logistics Platform,,Bangalore,Seed Funding,N/A,
1/7/2015,Retigence Technologies,Business IT Intelligence Services,,Mumbai,Private Equity,N/A,Series A
1/7/2015,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,Seed Funding,1000000,
1/7/2015,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,Seed Funding,630000,
1/7/2015,iDreamCareer,Ed-Tech Platform,,New Delhi,Seed Funding,N/A,
1/7/2015,Ola Cabs,Cab rental Mobile app,,Bangalore,Private Equity,N/A,Personal Investment
1/7/2015,NxtGen,IT infrastructure & Data Center services,,Bangalore,Private Equity,13500000,Series A
2/7/2015,BankBazaar,Online Financial Services,,Chennai,Private Equity,60000000,Series C(More here)
2/7/2015,Gozoomo,Used Car Marketplace,,Bangalore,Private Equity,5000000,Series A
2/7/2015,Zenatix,Internet of Things platform,,Gurgaon,Seed Funding,161000,
3/7/2015,CultureAlley,Language Learning App,,Jaipur,Private Equity,6500000,Series A
3/7/2015,Goqii,Mobile Fitness Marketplace,,Mumbai,Private Equity,N/A,Pre-Series A
3/7/2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,Seed Funding,1000000,
4/7/2015,Elanic,P2P Pre-owned goods marketplace,,Bangalore,Seed Funding,N/A,
4/7/2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,Seed Funding,395000,
5/7/2015,Urban Tailor,Online Tailoring Services,,Bangalore,Seed Funding,N/A,
6/7/2015,ConfirmtTkt,Rail Ticket Confirmation predictor,,Bangalore,Seed Funding,N/A,
6/7/2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,Private Equity,30000000,Series B
6/7/2015,getNow,Hyperlocal Goods marketplace,,Nagpur,Seed Funding,N/A,
7/7/2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,Private Equity,3000000,Series A
7/7/2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,Private Equity,5000000,Series A
7/7/2015,Eatlo,Food Delivery platform,,Bangalore,Seed Funding,N/A,
7/7/2015,IndiaLends,Financial Tech,,New Delhi,Private Equity,N/A,Pre-Series A
8/7/2015,Quinto,Food Discovery App,,Pune,Seed Funding,N/A,
8/7/2015,Saavn,Music Streaming App,,Mumbai,Private Equity,100000000,Series C
8/7/2015,Flytxt,Big Data & Analytics platform,,Mumbai,Private Equity,11000000,Series A
8/7/2015,33Coupons,Coupon Aggregator Platform,,Kanpur,Seed Funding,20000,
8/7/2015,Ampere,Electric Scooter manufacturer,,Coimbatore,Seed Funding,N/A,
8/7/2015,Hopping Chef,Online Food-Tech Platform,,Mumbai,Seed Funding,470000,Strategic Investment
8/7/2015,Collectabillia,Celebrity Fashion Brand,,Bangalore,Private Equity,7500000,Series B
8/7/2015,Lendingkart,Online Finance lending platform,,Ahmedabad,Private Equity,10000000,Series A
8/7/2015,Lybrate,Healthcare Mobile App,,New Delhi,Private Equity,10200000,Series A
8/7/2015,Zoomcar,Self-driven vehicle rental,,Bangalore,Private Equity,11000000,Series B
9/7/2015,News in shorts,News Aggregator mobile app,,Noida,Private Equity,20000000,Series B
9/7/2015,Bluestone,Online Jewellery Store,,Bangalore,Private Equity,16200000,
9/7/2015,Shopsity,Fashion Info Aggregator App,,Gurgaon,Seed Funding,N/A,
9/7/2015,Notesgen,Online Study Notes Marketplace,,New Delhi,Seed Funding,N/A,
10/7/2015,Infinity Assurance,Warranty Programs Service Administration,,New Delhi,Seed Funding,600000,
10/7/2015,Footprints Education,Pre-School Chain,,Gurgaon,Seed Funding,685000,
10/7/2015,Loylty Rewards,Premium Loyalty Rewards Point Management,,Mumbai,Private Equity,19350000,Late Stage
13/07/2015,Ameyo,Contact Center Software Platform,,Gurgaon,Private Equity,5000000,Series A
13/07/2015,Mamagoto,Casual Dining restaurant Chain,,New Delhi,Private Equity,10000000,Series A
13/07/2015,Satvacart,Online Grocery Delivery,,Gurgaon,Seed Funding,N/A,
14/07/2015,MySmartPrice,Online comparison engine,,Hyderabad,Private Equity,10000000,Series B
14/07/2015,Zenify,Residential Rental management platform,,Bangalore,Seed Funding,N/A,
14/07/2015,Boxmyspace,Physical Storage warehouses,,Mumbai,Seed Funding,300000,
14/07/2015,HackerRank,Tech Recruitment platform,,Bangalore,Private Equity,7500000,Series C
14/07/2015,WickedRide,Bike Rental Platform,,Bangalore,Seed Funding,790000,
14/07/2015,WoWexpress,Tech enabled logistics platform,,Mumbai,Seed Funding,500000,
15/07/2015,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,Private Equity,100000000,Series B
15/07/2015,Mobikon,Restaurant customer engagement platform,,Pune,Private Equity,2300000,Series B
15/07/2015,InstaLively.com,Live video streaming app,,New Delhi,Seed Funding,N/A,
15/07/2015,Roadrunnr,Hyper local logistics platform,,Bangalore,Private Equity,11000000,Series A
16/07/2015,Ketto,Crowd Funding Platform,,Mumbai,Seed Funding,700000,
17/07/2015,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Private Equity,1600000,Follow on Funding
17/07/2015,Omnikart,Industrial Supplies B2B ecommerce,,Mumbai,Seed Funding,100000,
20/07/2015,Zo Rooms,Online budget hotel chain,,New Delhi,Private Equity,15000000,No confirmation
20/07/2015,Innoviti,Payment Solutions platform,,Bangalore,Private Equity,4850000,Series A
21/07/2015,ZenRadius,Online Hiring Platform,,Bangalore,Seed Funding,N/A,
21/07/2015,Joy by nature,Organic Food ecommerce,,New Delhi,Private Equity,1000000,Series A
22/07/2015,Iqlect,Big Data & Analytics platform,,Bangalore,Private Equity,2000000,Series A
22/07/2015,deGustibus,Fine Dining Restaurant Chain,,Mumbai,Private Equity,30000000,Late Stage
23/07/2015,Nestaway,Luxury Rental Homes,,Bangalore,Private Equity,12750000,Series A
23/07/2015,Mswipe,Mobile Point of Sale payment solution,,,Private Equity,25000000,Series B
23/07/2015,Myonsto,Online Grocers,,Ahmedabad,Seed Funding,320000,
23/07/2015,iCrushiFlush,Casual Dating App,,Mumbai,Seed Funding,N/A,
23/07/2015,MedGenome,Clinical Genomics Provider,,Bangalore,Private Equity,20000000,Series B
23/07/2015,HolidayIQ,Travel information portal,,Bangalore,Private Equity,15000000,Strategic Investment
23/07/2015,Fitternity,Fitness Marketplace,,Mumbai,Private Equity,1000000,Series A
23/07/2015,Quikr,Online & Mobile classified listings,,Mumbai,Private Equity,60000000,Late Stage
23/07/2015,JetSetGo,Private Jet/ Helicopter Marketplace,,New Delhi,Seed Funding,N/A,
24/07/2015,BroEx,Real Estate Broker network App,,Gurgaon,Private Equity,1000000,Bridge round
25/07/2015,Shopatplaces,Ethnic/ Traditional Fashion Store,,New Delhi,Seed Funding,N/A,
25/07/2015,CredR,Used Bikes Marketplace,,Mumbai,Private Equity,15000000,Series A
27/07/2015,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Private Equity,6000000,Series A
27/07/2015,Townrush,B2B logistics delivery platform,,Bangalore,Seed Funding,N/A,
27/07/2015,Locus,Logistics Automation Platform,,Bangalore,Seed Funding,N/A,
27/07/2015,Bevy,Online Hiring Platform,,Bangalore,Seed Funding,N/A,
28/07/2015,Pepperfry,Online home dcor marketplace,,Mumbai,Private Equity,100000000,Series D
28/07/2015,Flipkart.com,Online Marketplace,,Bangalore,Private Equity,700000000,"Late Stage, 10th Round More here"
28/07/2015,Opinio,Hyperlocal food & grocery store,,Bangalore,Seed Funding,1300000,
28/07/2015,Zoctr,Health-Tech platform,,Mumbai,Seed Funding,1000000,
29/07/2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,Private Equity,2000000,Series A
29/07/2015,trueHb,Medical Tech Instruments,,New Delhi,Seed Funding,2400000,
29/07/2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,,Bangalore,Private Equity,50000000,Series A
29/07/2015,Swajal,Innovative Water Solutions,,Gurgaon,Private Equity,1200000,Series A
30/07/2015,Pipa Bella,Online Jewelry Store,,Mumbai,Private Equity,600000,Pre-Series A
30/07/2015,Pragmatix,Business intelligence & Analytics,,Mumbai,Private Equity,2400000,Series A
30/07/2015,Droom.in,Used Vehicle Marketplace,,New Delhi,Private Equity,16000000,Series A
30/07/2015,MadRat Games,Educational Board Games,,Bangalore,Seed Funding,168000,
30/07/2015,Noodle Play,Chinese food delivery,,Mumbai,Seed Funding,168000,
30/07/2015,Wassup,On-Demand Laundry & Dry cleaning App,,Chennai,Private Equity,N/A,Pre-Series A
30/07/2015,Cartisan,On-Demand Car services App,,Bangalore,Seed Funding,N/A,
31/07/2015,LazyLad,Hyperlocal Grocery App,,Gurgaon,Private Equity,500000,pre-Series A
31/07/2015,TripFactory,Online Curated Holiday package bookings,,Bangalore,Private Equity,N/A,Series A
31/07/2015,Prothom,Hasbro Toy Manufacturer,,Pune,Private Equity,2000000,Series A
31/07/2015,Bona Vita,Travel Tech,,Gurgaon,Private Equity,5000000,Strategic Investment
1/8/2015,Snapdeal,Ecommerce Marketplace,,New Delhi,Private Equity,500000000,Late Stage Round 7th (More details)
1/8/2015,Ressy,Restaurant Discount app,,Pune,Seed Funding,400000,
3/8/2015,Cuelearn,Tech-enabled learning,,New Delhi,Seed Funding,N/A,
3/8/2015,Connect India,ECommerce Logistics provider,,New Delhi,Private Equity,5000000,Series A
3/8/2015,The Home Salon,on-demand home beauty and wellness portal,,Mumbai,Seed Funding,N/A,
3/8/2015,Jusride,Self Driven Car rental,,Mumbai,Seed Funding,N/A,
3/8/2015,Oyorooms,Budget Hotel accommodation brand,,New Delhi,Private Equity,100000000,Series B
3/8/2015,Glowship,Energy & Environment Online Marketplace,,Bangalore,Seed Funding,N/A,
3/8/2015,Wizrocket,User Engagment & Analytics platform,,Mumbai,Private Equity,9600000,Series B
4/8/2015,Pickingo,On-Demand Delivery Logistics,,New Delhi,Private Equity,1300000,Series A
5/8/2015,Grex,fund raising platform for startups,,Pune,Seed Funding,650000,
5/8/2015,LetsTransport,Logistics Tech Platform,,Bangalore,Seed Funding,1300000,
5/8/2015,Zo Rooms,Online budget hotel chain,,New Delhi,Private Equity,30000000,Series A
5/8/2015,Doormint,Hyperlocal Handyman services,,Mumbai,Private Equity,3000000,Series A
5/8/2015,NightStay,hotel booking app,,Noida,Seed Funding,500000,
5/8/2015,Zocalo,Rental Accomodation finder,,New Delhi,Seed Funding,N/A,
5/8/2015,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,Seed Funding,785000,
6/8/2015,Klozee,Luxury Apparel rental,,Bangalore,Seed Funding,N/A,
6/8/2015,Appvigil,App security testing platform,,Mumbai,Seed Funding,500000,pre Series-A
6/8/2015,practo,Doctor Appointment booking app,,Bangalore,Private Equity,90000000,Series C
6/8/2015,LoudShout,anonymous bulletin board app,,New Delhi,Seed Funding,N/A,
6/8/2015,Wetravelsolo,Travel community platform,,New Delhi,Seed Funding,N/A,
6/8/2015,Ketto,Crowd funding platform,,Mumbai,Seed Funding,700000,
6/8/2015,Ezetap,Mobile based PoS solution,,Bangalore,Private Equity,25000000,Series C
6/8/2015,NDTV ecommerce venture,Car & Bike ecommerce platform,,Mumbai,Private Equity,N/A,Series A
7/8/2015,Carls Jr,Fast food Chain Franchisee,,Gurgaon,Seed Funding,630000,
7/8/2015,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,Private Equity,500000,Pre-Series A
7/8/2015,GIBSS,Energy saving solutions provider,,Mumbai,Private Equity,N/A,Series A
7/8/2015,StoreMore.in,Self-Storage Spaces,,Noida,Seed Funding,N/A,
7/8/2015,iOrderFresh,Grocery retail Mobile app,,New Delhi,Seed Funding,N/A,
10/8/2015,MyTaxiIndia,Taxi Rental platform,,Gurgaon,Private Equity,500000,Pre Series-A
10/8/2015,eSadar,ecommerce,,New Delhi,Seed Funding,80000,
10/8/2015,Actionable Analytics,Machine Learning Platform,,New Delhi,Seed Funding,N/A,
10/8/2015,MyPoolin,mobile social network,,New Delhi,Seed Funding,250000,QPrize Contest Winners
10/8/2015,NearBuy (previously groupon India),Hyper-Local Ecommerce,,New Delhi,Private Equity,16000000,Series A
10/8/2015,Inkmonk,Online printing marketplace,,Chennai,Seed Funding,250000,
10/8/2015,ToneTag,mobile payment software platform,,Bangalore,Private Equity,1000000,Series A
10/8/2015,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Private Equity,30000000,Series B
11/8/2015,Livspace,Home Design & Dcor solutions,,Bangalore,Private Equity,8000000,Series A
11/8/2015,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Seed Funding,1600000,
11/8/2015,RainCan,Subscription based Online Grocery platform,,Pune,Seed Funding,100000,
11/8/2015,Allygrow Technologies,engineering services company,,Mumbai,Private Equity,20000000,Series A
11/8/2015,Infogain,Business and IT consulting,,New Delhi,Private Equity,63000000,N/A
12/8/2015,OneAssist,Credit Card Fraud protection solutions,,Mumbai,Private Equity,7500000,Series B
12/8/2015,BigBasket,Online & mobile Grocery store,,Bangalore,Private Equity,50000000,Series C
12/8/2015,Sheroes,Career Community for Women,,Noida,Seed Funding,770000,
12/8/2015,Scripbox,Mutual Fund Investing platform,,Bangalore,Private Equity,2500000,Series A
13/08/2015,betaout,Ecommerce Marketing Software Platform,,Noida,Seed Funding,500000,
13/08/2015,IFMR Holdings,Financial Inclusion platform,,Chennai,Private Equity,25000000,Series B
13/08/2015,Massblurb,Digital Marketing automation solution,,Mumbai,Seed Funding,N/A,
13/08/2015,Agrostar,Mobile Commerce for Farmers,,Pune,Private Equity,4000000,Series A
14/08/2015,VoxWeb,Picture based Social App,,Mumbai,Seed Funding,100000,
14/08/2015,Trukky,Logistics service platform,,Ahmedabad,Seed Funding,245000,
14/08/2015,VanityCube,On-Demand Beauty Services,,New Delhi,Seed Funding,N/A,
17/08/2015,Edu4Share,Exam Preparation Platform,,New Delhi,Seed Funding,220000,
17/08/2015,YourStory,Startup Focused Online Publisher,,Mumbai,Seed Funding,N/A,
17/08/2015,Sampurnearth,Waste Management Solutions,,Mumbai,Seed Funding,160000,
17/08/2015,Orobind,App based Fitness coaching,,Bangalore,Private Equity,N/A,pre series A
17/08/2015,Fixy,On demand cleaning & fixing services,,Mumbai,Seed Funding,N/A,
17/08/2015,MSM Box,Beauty & Lifestyle platform,,New Delhi,Seed Funding,N/A,
17/08/2015,ShadowFax,on-demand delivery service,,Gurgaon,Seed Funding,310000,
17/08/2015,Gadgets 360,Car & Bike ecommerce platform,,New Delhi,Private Equity,N/A,Strategic Investment
18/08/2015,Roposo,Fashion Discovery platform,,Gurgaon,Private Equity,15000000,Series B
18/08/2015,IntelligenceNODE,Data Analytics Platform,,Mumbai,Private Equity,4200000,Series A
18/08/2015,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,Seed Funding,1000000,
18/08/2015,Twyst,Location based engagement & rewards platform,,Gurgaon,Seed Funding,N/A,
18/08/2015,IDfy,Online Identity Verification Services platform,,Mumbai,Private Equity,N/A,Series A
18/08/2015,Zoojoo.be,Corporate Wellness App,,Bangalore,Private Equity,1000000,Series A
19/08/2015,Fashionove,Fashion Search & Review Platform,,Kolkata,Seed Funding,N/A,
19/08/2015,Envoged,pre-owned Luxury online apparel seller,,Mumbai,Seed Funding,N/A,
19/08/2015,MebelKart,Online Furniture Marketplace,,Bangalore,Private Equity,20000000,
20/08/2015,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Seed Funding,156000,
20/08/2015,Flatpebble,Online marketplace for Photographers,,Hyderabad,Seed Funding,600000,
20/08/2015,Bluegape.com,Visual Blogging platform,,New Delhi,Seed Funding,600000,
21/08/2015,ePoise,Job Search Platform,,Bangalore,Seed Funding,500000,
24/08/2015,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,Seed Funding,300000,
24/08/2015,BookMeIn,Professional Service Appointment booking service,,Mumbai,Seed Funding,400000,
24/08/2015,iZofy,Scientific Horoscope Online Assistance platform,,Kolkata,Seed Funding,N/A,
24/08/2015,rBus,Tech enabled AC bus service,,Mumbai,Seed Funding,N/A,
25/08/2015,Qyk App,On-Demand App based Professional service provider,,Bangalore,Private Equity,1000000,pre-series A
25/08/2015,EazyDiner,Restaurant Reservation Platform,,Gurgaon,Private Equity,3000000,Series A
25/08/2015,RevX,Cross-channel CRM platform,,Mumbai,Private Equity,4000000,Series A
25/08/2015,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Seed Funding,250000,
26/08/2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,Seed Funding,100000,
26/08/2015,Belita,On-Demand Beauty Service,,Mumbai,Seed Funding,400000,
26/08/2015,EzySolare,solar products and services marketplace,,Ahmedabad,Seed Funding,N/A,
26/08/2015,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Seed Funding,500000,
27/08/2015,InstaSafe,Private Cloud Networks SAAS platform,,Bangalore,Seed Funding,N/A,
27/08/2015,Eazy Coach,Education Marketplace,,Kolkata,Seed Funding,N/A,
27/08/2015,Djubo.com,Cloud Based Hotel Sales Platform,,New Delhi,Private Equity,N/A,Strategic Investment
28/08/2015,BetterButter.in,online recipe sharing platform,,New Delhi,Seed Funding,N/A,
28/08/2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Private Equity,2000000,Pre-Series A
28/08/2015,RollMafia,QSR Restaurant Chain,,Pune,Seed Funding,160000,
29/08/2015,iamwire,Digital Media publishing platform,,Gurgaon,Seed Funding,N/A,
31/08/2015,DropKaffe,Online Coffee Delivery platform,,Bangalore,Seed Funding,300000,
31/08/2015,Reverie,Language Localization Cloud platform,,Bangalore,Private Equity,4000000,Series A
31/08/2015,Infinite Analytics,Big Data & predictive Analysis Platform,,Mumbai,Private Equity,N/A,Bridge Round
1/9/2015,TOFlo,FinTech Startup Incubation platform,,Mumbai,Seed Funding,100000,
1/9/2015,FXMartIndia,Payment Services platform,,Chandigarh,Private Equity,N/A,Strategic Investment (Majority Stake)
1/9/2015,Stylecracker,Personalized Styling platform,,Mumbai,Private Equity,1000000,Series A
1/9/2015,Luxuryhues,Luxury goods Shopping Platform,,Gurgaon,Private Equity,900000,Series A
2/9/2015,HolaChef,Food Delivery Platform,,Mumbai,Private Equity,N/A,Part of Series A raised in June 2015
2/9/2015,Zivame,Online Lingerie Marketplace,,Bangalore,Private Equity,40000000,Series C
2/9/2015,Capillary Tech,Cloud software solutions,,New Delhi,Private Equity,45000000,Series D
3/9/2015,Jobspire,Job Search Platform,,Bangalore,Seed Funding,260000,
3/9/2015,MeraDoctor,Doctor consultancy Mobile App,,Mumbai,Seed Funding,N/A,
3/9/2015,Vistaar Finance,Small Business Financing (NBFC),,Bangalore,Private Equity,40000000,
3/9/2015,HiJinny,Beauty & Wellness Services Marketplace,,Mumbai,Seed Funding,N/A,
4/9/2015,Clapsnslaps,Online Movie Review Platform,,Mumbai,Seed Funding,150000,
4/9/2015,Blubox,ECommerce Brands Full Service Agency,,Mumbai,Seed Funding,100000,
4/9/2015,RoomCentral,Cloud-based Hotel Booking Platform,,Bangalore,Seed Funding,2000000,
7/9/2015,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,Seed Funding,600000,
7/9/2015,Prozo,Study Material Marketplace,,New Delhi,Seed Funding,205000,
7/9/2015,Zomato,Restaurant Ratings & Reviews platform,,Gurgaon,Private Equity,60000000,Late Stage
7/9/2015,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Private Equity,1800000,Series A
8/9/2015,MockBank,Government Test Preparation platform,,Bangalore,Seed Funding,400000,
8/9/2015,ReportBee,Smart Report Cards for Schools,,Chennai,Seed Funding,N/A,
8/9/2015,GuruG Learning,Teacher empowerment platform,,Bangalore,Seed Funding,N/A,
10/9/2015,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,Private Equity,770000,Series A
10/9/2015,IndustryBuying,Industrial Tools Marketplace,,New Delhi,Private Equity,9200000,Series B
10/9/2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,Bangalore,Seed Funding,315000,
11/9/2015,FitMeIn,Gym & Fitness Studios Subscription platform,,New Delhi,Seed Funding,100000,
11/9/2015,Envoged,pre-used luxury item Marketplace,,Mumbai,Seed Funding,N/A,
11/9/2015,Zapyle,pre-used apparel shopping mobile app,,Bangalore,Seed Funding,1000000,
11/9/2015,Renomania,Home Design & Dcor platform,,New Delhi,Seed Funding,N/A,
12/9/2015,CredR,Used Vehicles Marketplace,,Mumbai,Private Equity,15000000,Series A
12/9/2015,YatraGenie,Online Bus & Cab ticketing platform,,Hyderabad,Private Equity,N/A,Series A
14/09/2015,CanvasFlip,Mobile App testing platform,,Hyderabad,Seed Funding,1200000,
14/09/2015,Shadowfax,Hyperlocal Delivery Services,,Gurgaon,Private Equity,9000000,Series A
14/09/2015,Ola Cabs,Cab rental Mobile app,,Bangalore,Private Equity,225000000,Late Stage
15/09/2015,Coverfox,Online Insurance Distribution Platform,,Mumbai,Private Equity,2000000,Part of $12M Series B funding
15/09/2015,MoEngage,Mobile Marketing Automation Platform,,Bangalore,Private Equity,4250000,Series A
15/09/2015,Mubble,Prepaid Mobile Bill Manager App,,Bangalore,Seed Funding,N/A,
15/09/2015,Tea Trails,Chain of Tea Cafs,,Mumbai,Seed Funding,1000000,
15/09/2015,Room on Call,Branded Budget Hotel Marketplace,,Noida,Seed Funding,300000,
15/09/2015,FYNE,Home Fitting & Fixtures Marketplace,,Bangalore,Seed Funding,N/A,Pre-Series A
16/09/2015,ChaiPoint,Food Subscription platform,,Bangalore,Private Equity,10000000,Series A
16/09/2015,WedmeGood.com,Wedding Planning Platform,,Gurgaon,Seed Funding,410000,
16/09/2015,XSTOK,B2B Mobile Auction Marketplace,,Mumbai,Seed Funding,450000,
17/09/2015,UniLog,ECommerce Data Analytics Platform,,Bangalore,Private Equity,N/A,
17/09/2015,Paintcollar,Designer Merchandize Marketplace,,Mumbai,Seed Funding,N/A,Bridge Funding
17/09/2015,YepMe,Private label Fashion eTailer,,Gurgaon,Private Equity,75000000,Series D
17/09/2015,Bueno,Online Food ordering & delivery,,Gurgaon,Seed Funding,600000,
18/09/2015,Plabro,Real Estate Broker Platform App,,New Delhi,Seed Funding,350000,
18/09/2015,CureJoy,Online Health & Wellness platform,,Bangalore,Private Equity,1150000,Pre-Series A
18/09/2015,Briston Technomach,Internet of Things platform,,New Delhi,Seed Funding,150000,
18/09/2015,LabStreet,Diagnostic Labs aggregator platform,,Gurgaon,Seed Funding,150000,
19/09/2015,DailyNinja,Hyperlocal Delivery Platform,,Bangalore,Seed Funding,N/A,
21/09/2015,Portea Medical,Home Medical Care Services,,Bangalore,Private Equity,37500000,
21/09/2015,Neotrade Analytics,Real-Time stock data platform,,Bangalore,Seed Funding,235000,
21/09/2015,DishCo,Food discovery & table booking app,,Mumbai,Seed Funding,N/A,
21/09/2015,ConnectAbank,Financial Products lead generation platform,,Mumbai,Seed Funding,N/A,
22/09/2015,VillFarm,Sustainable Agri-inputs Firm,,Bangalore,Seed Funding,N/A,
22/09/2015,Bestdealfinance,Financial Services Portal,,Mumbai,Private Equity,3000000,Series A
22/09/2015,GameXS.in,Pre-owned games Marketplace,,New Delhi,Seed Funding,N/A,
22/09/2015,The Man Company,Content-based Subscription eCommerce platform,,New Delhi,Seed Funding,N/A,
22/09/2015,Virtual Logic,virtual reality 3d simulation and stereoscopic products,,Bangalore,Private Equity,800000,Pre-Series A
22/09/2015,Furdo,Online Interior Designing platform,,Bangalore,Seed Funding,400000,
22/09/2015,LogiNext,End-to-end Logistics platform,,Mumbai,Private Equity,10000000,Series A
22/09/2015,Korra,Private Label Apparel sales,,New Delhi,Seed Funding,300000,
23/09/2015,Credihealth,Healthcare Consulting platform,,Gurgaon,Seed Funding,N/A,
23/09/2015,Amigobulls,Stock Market Portal,,Bangalore,Seed Funding,N/A,
23/09/2015,SilverPush,Cross-device retargeting platform,,Gurgaon,Private Equity,1200000,Series A
23/09/2015,Juggernaut,Digital & Physical Publishing platform,,New Delhi,Private Equity,2250000,Series A
23/09/2015,InnerChef,Food Delivery Platform,,New Delhi,Private Equity,1750000,pre-Series A
24/09/2015,Quintype,Data Driven Publishing platform,,Bangalore,Private Equity,3300000,
24/09/2015,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,Seed Funding,400000,
24/09/2015,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,Private Equity,2000000,Series A
24/09/2015,Licious,Online Meat Ordering platform,,Bangalore,Seed Funding,1000000,
25/09/2015,TravelKhana,online meal-booking platform for train travelers,,New Delhi,Seed Funding,N/A,Pre-Series A
28/09/2015,Quickli,hyperlocal delivery platform,,New Delhi,Seed Funding,N/A,
28/09/2015,Ola Cabs,Cab Booking app platform,,Bangalore,Private Equity,30000000,late Stage (part of $500M funding rnd)
29/09/2015,Paytm,E-Commerce & M-Commerce platform,,New Delhi,Private Equity,680000000,Late Stage (Alibaba @ 40% equity)
29/09/2015,Inmobi,Mobile Advertising platform,,Bangalore,Private Equity,100000000,Late Stage
29/09/2015,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,Private Equity,36000000,Series B
29/09/2015,Hugefly,Ecommerce Product recommendation platform,,Pune,Seed Funding,N/A,
29/09/2015,Brigge,Activity Based Social Network,,Chennai,Seed Funding,N/A,
29/09/2015,Zakoopi,Fashion Discovery platform,,New Delhi,Seed Funding,350000,
29/09/2015,LoanCircle,Consumer lending marketplace,,Bangalore,Seed Funding,N/A,
30/09/2015,Infoworks,Big Data Management Platform,,Bangalore,Private Equity,5000000,
30/09/2015,RedDoorz,Budget Accommodation Platform,,Noida,Seed Funding,1000000,
30/09/2015,FirstTouch,Local Mobile OS,,Gurgaon,Seed Funding,N/A,Super angel round
30/09/2015,Eywa Media,Digital Signal processing platform,,Bangalore,Seed Funding,1000000,
1/10/2015,Indifi,Easy Business Loans platform,,Gurgaon,Seed Funding,N/A,
1/10/2015,Wydr,Performance based Wholesale Marketplace,,New Delhi,Seed Funding,N/A,
1/10/2015,EasyFix,Professional Services Marketplace,,Gurgaon,Seed Funding,N/A,
1/10/2015,Muvizz,Movie-on-demand platform,,Singapore,Seed Funding,350000,
1/10/2015,Abhibus,bus ticketing and fleet management platform,,Hyderabad,Private Equity,N/A,Strategic Investment
1/10/2015,Cleartax,Online Income Tax Filing platform,,New Delhi,Private Equity,N/A,N/A
2/10/2015,Shopalyst,Product discovery & recommendation platform,,Bangalore,Private Equity,2000000,Series A
3/10/2015,Chillr,Mobile Payments App,,Mumbai,Private Equity,6000000,Series A
5/10/2015,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,Private Equity,9500000,Series B
5/10/2015,Voylla,Fashion jewelry and accessories e-tailer,,Jaipur,Private Equity,15000000,Series B
